ISO,2013
AFG,AFG
ALB,ALB
DZA,DZA
AND,AND
AGO,AGO
ATG,ATG
ARG,ARG
ARM,ARM
ABW,ABW
AUS,AUS
AUT,AUT
AZE,AZE
BHS,BHS
BHR,BHR
BGD,BGD
BRB,BRB
BLR,BLR
BEL,BEL
BLZ,BLZ
BEN,BEN
BMU,BMU
BTN,BTN
BOL,BOL
BIH,BIH
BWA,BWA
BRA,BRA
VGB,VGB
BRN,BRN
BGR,BGR
BFA,BFA
BDI,BDI
CPV,CPV
KHM,KHM
CMR,CMR
CAN,CAN
CYM,CYM
CAF,CAF
TCD,TCD
CHL,CHL
CHN,CHN
COL,COL
COD,COD
COG,COG
CRI,CRI
CIV,CIV
HRV,HRV
CUB,CUB
CYP,CYP
CZE,CZE
DNK,DNK
DJI,DJI
DOM,DOM
ECU,ECU
EGY,EGY
SLV,SLV
ERI,ERI
EST,EST
SWZ,SWZ
ETH,ETH
FJI,FJI
FIN,FIN
FRA,FRA
PYF,PYF
GAB,GAB
GMB,GMB
GEO,GEO
DEU,DEU
GHA,GHA
GRC,GRC
GRL,GRL
GTM,GTM
GIN,GIN
GUY,GUY
HTI,HTI
HND,HND
HKG,HKG
HUN,HUN
ISL,ISL
IND,IND
IDN,IDN
IRN,IRN
IRQ,IRQ
IRL,IRL
ISR,ISR
ITA,ITA
JAM,JAM
JPN,JPN
JOR,JOR
KAZ,KAZ
KEN,KEN
PRK,PRK
KOR,KOR
KWT,KWT
KGZ,KGZ
LAO,LAO
LVA,LVA
LBN,LBN
LSO,LSO
LBR,LBR
LBY,LBY
LIE,LIE
LTU,LTU
LUX,LUX
MAC,MAC
MDG,MDG
MWI,MWI
MYS,MYS
MDV,MDV
MLI,MLI
MLT,MLT
MRT,MRT
MUS,MUS
MEX,MEX
MDA,MDA
MCO,MCO
MNG,MNG
MNE,MNE
MAR,MAR
MOZ,MOZ
MMR,MMR
NAM,NAM
NPL,NPL
NLD,NLD
ANT,ANT
NCL,NCL
NZL,NZL
NIC,NIC
NER,NER
NGA,NGA
MKD,MKD
NOR,NOR
OMN,OMN
PAK,PAK
PAN,PAN
PNG,PNG
PRY,PRY
PER,PER
PHL,PHL
POL,POL
PRT,PRT
QAT,QAT
ROU,ROU
RUS,RUS
RWA,RWA
WSM,WSM
SMR,SMR
STP,STP
SAU,SAU
SEN,SEN
SRB,SRB
SYC,SYC
SLE,SLE
SGP,SGP
SVK,SVK
SVN,SVN
SOM,SOM
ZAF,ZAF
SDS,SDS
ESP,ESP
LKA,LKA
SUD,SUD
SUR,SUR
SWE,SWE
CHE,CHE
SYR,SYR
TWN,TWN
TJK,TJK
TZA,TZA
THA,THA
TGO,TGO
TTO,TTO
TUN,TUN
TUR,TUR
TKM,TKM
USR,USR
UGA,UGA
UKR,UKR
ARE,ARE
GBR,GBR
USA,USA
URY,URY
UZB,UZB
VUT,VUT
VEN,VEN
VNM,VNM
PSE,PSE
YEM,YEM
ZMB,ZMB
ZWE,ZWE
